"district","date","disease","cases","turbidity_NTU","water_surface_temp_C","chlorophyll_a_mg_m3","NDWI","NDVI","EVI","SPM_mg_L","surface_reflectance_B3","surface_reflectance_B4","surface_reflectance_B5","month"
"Kamrup","2023-01-01","Leptospirosis","6","12.74","23.5","5.06","0.127","0.363","0.231","16.2","0.0113","0.0078","0.0105","1"
"Kamrup","2023-01-02","Typhoid","5","6.37","22.2","3.7","0.119","0.352","0.232","12","0.0678","0.0249","0.0065","1"
"Kamrup","2023-01-02","Acute Gastroenteritis/Dysentery","15","8.63","18.1","3.34","0.11","0.459","0.33","14.4","0.0355","0.0102","0.0092","1"
"Kamrup","2023-01-03","Typhoid","2","5.97","23.2","8.06","0.147","0.333","0.218","16.7","0.0546","0.0202","0.0135","1"
"Kamrup","2023-01-03","Leptospirosis","6","9.4","23.5","4.44","0.058","0.388","0.223","15.8","0.0383","0.0513","0.0068","1"
"Kamrup","2023-01-04","Leptospirosis","6","5.57","21","7.83","0.116","0.358","0.276","15.5","0.0545","0.018","0.0124","1"
"Kamrup","2023-01-04","Cholera","2","0.5","22.7","5.21","0.086","0.436","0.297","16.1","0.0097","0.0156","0.0262","1"
"Kamrup","2023-01-05","Hepatitis A/E","3","6.02","22","6.96","0.087","0.354","0.227","16.7","0.0399","0.0327","0.0058","1"
"Kamrup","2023-01-05","Acute Gastroenteritis/Dysentery","11","12.21","19.2","7.17","0.21","0.321","0.196","15.5","0.0324","0.0095","0.0155","1"
"Kamrup","2023-01-05","Hepatitis A/E","11","11.13","23.1","8.73","0.227","0.374","0.252","7.8","0.0579","0.038","0.0081","1"
"Kamrup","2023-01-06","Cholera","7","5.04","19.8","0.24","0.06","0.4","0.261","12.7","0.0233","0.0337","0.0227","1"
"Kamrup","2023-01-06","Cholera","6","7.21","27.4","7.25","0.057","0.314","0.244","13.9","0.0507","0.0297","0.0144","1"
"Kamrup","2023-01-07","Cholera","2","8.64","19.5","6.35","0.119","0.329","0.238","15.3","0.0229","0.0286","0.0195","1"
"Kamrup","2023-01-07","Cholera","6","4.45","23","5.67","0.066","0.405","0.263","24.4","0.0299","0.0159","0.0114","1"
"Kamrup","2023-01-07","Leptospirosis","6","5.32","21.3","9.12","0.106","0.444","0.247","26.9","0.0677","0.0386","0.0216","1"
"Kamrup","2023-01-08","Leptospirosis","10","10.06","22.1","6.88","0.095","0.361","0.263","19.4","0.033","0.0188","0.0122","1"
"Kamrup","2023-01-08","Leptospirosis","3","6.98","20.4","7.4","0.13","0.362","0.148","12.9","0.0421","0.025","0.021","1"
"Kamrup","2023-01-08","Hepatitis A/E","1","5.68","25.3","5.33","0.084","0.425","0.217","19.7","0.059","0.0288","0.0282","1"
"Kamrup","2023-01-09","Leptospirosis","1","6.11","23.8","7.1","0.064","0.257","0.119","11.7","0.0574","0.0405","0.0115","1"
"Kamrup","2023-01-09","Cholera","6","7.19","20.8","9.82","0.153","0.257","0.157","21","0.0221","0.0327","0.0203","1"
"Kamrup","2023-01-10","Leptospirosis","5","5.52","21.4","6.83","0.072","0.334","0.246","16.2","0.0324","0.0203","0.0169","1"
"Kamrup","2023-01-10","Leptospirosis","7","5.84","21.6","6.62","0.174","0.469","0.32","14.9","0.025","0.0248","0.0127","1"
"Kamrup","2023-01-11","Hepatitis A/E","4","8.67","22","6.2","0.061","0.402","0.306","22.3","0.0544","0.0465","0.0089","1"
"Kamrup","2023-01-12","Cholera","5","5.48","20.8","1.75","0.074","0.339","0.245","16.7","0.0681","0.0345","0.0104","1"
"Kamrup","2023-01-13","Hepatitis A/E","8","5.38","20.7","6.67","0.125","0.4","0.259","21.4","0.0386","0.0344","0.0104","1"
"Kamrup","2023-01-13","Leptospirosis","3","4.04","25.7","8.36","0.077","0.263","0.252","14.4","0.0586","0.0091","0.0102","1"
"Kamrup","2023-01-14","Acute Gastroenteritis/Dysentery","12","12.19","21.2","8.3","0.126","0.419","0.333","15.3","0.0436","0.0332","0.0314","1"
"Kamrup","2023-01-14","Acute Gastroenteritis/Dysentery","17","10.6","21.8","6.44","0.006","0.477","0.367","21.1","0.0378","0.0263","0.0111","1"
"Kamrup","2023-01-14","Typhoid","8","12.84","20.4","7.12","0.054","0.48","0.324","17.3","0.0402","0.0113","0.019","1"
